"Gruppe"	"Produktname"
"Insektizid"	NA
"Insektizid"	"Karate Zeon"
"Insektizid"	"Jaguar"
"Insektizid"	"Esfen Alpha"
"Insektizid"	"Shock Down"
"Insektizid"	"Lambda 100"
"Insektizid"	"Karis 10 CS"
"Insektizid"	"Cyperstar 500"
"Insektizid"	"Karat Zeon"
"Insektizid"	"Karate zeon"
"Insektizid"	"Lamdex Forte"
"Insektizid"	"Treban"
"Insektizid"	"Neem Azal"
"Insektizid"	"danjiri"
"Insektizid"	"Spintor"
"Insektizid"	"Mospilan Sg"
"Insektizid"	"Teppeki"
"Insektizid"	"Pirimor"
"Insektizid"	"EVURE"
"Insektizid"	"Novodor"
"Insektizid"	"Coragen"
"Insektizid"	"NeemAzal"
"Insektizid"	"Danjiri"
"Insektizid"	"Venator"
"Insektizid"	"KarateZeon"
"Insektizid"	"Arinex"
"Insektizid"	"Karate"
"Herbizid"	NA
"Herbizid"	"Herold SC"
"Herbizid"	"LodinSC"
"Herbizid"	"TrimmerSX"
"Herbizid"	"Broadway"
"Herbizid"	"Cadou+Agolin"
"Herbizid"	"Pyrat"
"Herbizid"	"AtlantisFlex"
"Herbizid"	"B flex"
"Herbizid"	"Cato"
"Herbizid"	"Ariane C"
"Herbizid"	"Mertil"
"Herbizid"	"Axial 50"
"Herbizid"	"Boudha"
"Herbizid"	"Trinity"
"Herbizid"	"Pontos"
"Herbizid"	"Zypar"
"Herbizid"	"Axial"
"Herbizid"	"Cadou"
"Herbizid"	"Boxer"
"Herbizid"	"Flame duo"
"Herbizid"	"Axial Komplett"
"Herbizid"	"Carpatus"
"Herbizid"	"BeFlex"
"Herbizid"	"Sunfire"
"Herbizid"	"Round up ultra"
"Herbizid"	"MCPA"
"Herbizid"	"Arnold"
"Herbizid"	"Fluent500SC"
"Herbizid"	"Lodin"
"Herbizid"	"U56MFluid"
"Herbizid"	"Tribe75WG"
"Herbizid"	"Deflanil500SC"
"Herbizid"	"Fence"
"Herbizid"	"PointerSX"
"Herbizid"	"MCPA500"
"Herbizid"	"Picona"
"Herbizid"	"Pixxaro EC"
"Herbizid"	"Dirigent"
"Herbizid"	"Niantic"
"Herbizid"	"Biathlon4D"
"Herbizid"	"Falcon"
"Herbizid"	"FHS"
"Herbizid"	"Pointer SX"
"Herbizid"	"Avoxa"
"Herbizid"	"Fuego500SC"
"Herbizid"	"Fuego top"
"Herbizid"	"Agil S"
"Herbizid"	"Trepach"
"Herbizid"	"Fuego Top"
"Herbizid"	"Fox"
"Herbizid"	"Kerb"
"Herbizid"	"Laudis"
"Herbizid"	"Waran"
"Herbizid"	"Butisan Gold"
"Herbizid"	"MaisTerPower"
"Herbizid"	"Spectrum plus"
"Herbizid"	"Successor T"
"Herbizid"	"Lumica"
"Herbizid"	"Duplosan DP"
"Herbizid"	"U 46 M-Fluid"
"Herbizid"	"Ergon"
"Herbizid"	"Bandur"
"Herbizid"	"Targa super"
"Herbizid"	"Herold,Boxer"
"Herbizid"	"Mistral"
"Herbizid"	"Quickdown"
"Herbizid"	"ROXY800EC"
"Herbizid"	"CATO"
"Herbizid"	"BelkarPowerPack"
"Herbizid"	"Panarex"
"Herbizid"	"Broadway+Netzmittel"
"Herbizid"	"StompAqua"
"Herbizid"	"DualGold"
"Herbizid"	"Ikanos"
"Herbizid"	"Belkar"
"Herbizid"	"Kerb Flo"
"Herbizid"	"GoltixTitan"
"Herbizid"	"BelvedereDuo"
"Herbizid"	"BetasanaSC"
"Herbizid"	"Debut"
"Herbizid"	"Stemat"
"Herbizid"	"Metafol"
"Herbizid"	"Taifun forte"
"Herbizid"	"Betasana"
"Herbizid"	"Oblix"
"Herbizid"	"Access"
"Herbizid"	"Devoid"
"Herbizid"	"Shiro"
"Herbizid"	"Agrogogo"
"Herbizid"	"POINTER SX"
"Herbizid"	"HeroldSC"
"Herbizid"	"Traxos"
"Herbizid"	"U46M"
"Herbizid"	"LandmasterSupreme480TF"
"Herbizid"	"SpectrumGold"
"Herbizid"	"MaisterPower"
"Herbizid"	"Mixin"
"Herbizid"	"Tribun"
"Herbizid"	"Peak"
"Herbizid"	"Montano Forte"
"Herbizid"	"Adengo"
"Herbizid"	"Callisto"
"Herbizid"	"Nicosh 4%"
"Herbizid"	"CONCERT SX"
"Herbizid"	"Quantum"
"Herbizid"	"Botiga"
"Herbizid"	"Daneva"
"Herbizid"	"Pazifica Plus"
"Herbizid"	"Pointer"
"Herbizid"	"Proman"
"Herbizid"	"Select240"
"Herbizid"	"Roxy"
"Herbizid"	"MerlinCadouSC"
"Herbizid"	"Tribun75WG"
"Herbizid"	"DiscopurM"
"Herbizid"	"Tomigan"
"Herbizid"	"Runway"
"Herbizid"	"Lentipur700"
"Herbizid"	"Leopard"
"Herbizid"	"Select"
"Herbizid"	"SyneroPack"
"Herbizid"	"Elumis + Peak"
"Herbizid"	"Kideka / Stretch 1+1 L"
"Herbizid"	"Aspect"
"Herbizid"	"Gardo Gold"
"Herbizid"	"Nicosh"
"Herbizid"	"Maister Power+Simba 100SC"
"Herbizid"	"Broadway + Mero"
"Herbizid"	"Skyway Xpro"
"Herbizid"	"Logano"
"Herbizid"	"Lentipur"
"Herbizid"	"PointerPlus"
"Herbizid"	"Peak 15g"
"Herbizid"	"Round up Rekord"
"Herbizid"	"Boxer + Spektrum Plus"
"Herbizid"	"Roxy800EC"
"Herbizid"	"Cleanshot"
"Herbizid"	"GoldixGold"
"Herbizid"	"Tramat"
"Herbizid"	"GoldixTitan"
"Herbizid"	"Vevendi"
"Herbizid"	"Successor"
"Herbizid"	"Durano"
"Herbizid"	"Stemnat"
"Fungizid"	NA
"Fungizid"	"Agroseller Tebuconazole"
"Fungizid"	"Mirage"
"Fungizid"	"Pecari"
"Fungizid"	"TebuPlus"
"Fungizid"	"Gigant"
"Fungizid"	"Tebu Plus"
"Fungizid"	"Orius"
"Fungizid"	"Ampec"
"Fungizid"	"Folicur"
"Fungizid"	"Medax Top"
"Fungizid"	"Ascra Xpro"
"Fungizid"	"Magnello"
"Fungizid"	"Input Triple"
"Fungizid"	"Revytrex"
"Fungizid"	"Comet"
"Fungizid"	"Sympara"
"Fungizid"	"Elatus Era"
"Fungizid"	"Elatus Plus"
"Fungizid"	"Plexeo"
"Fungizid"	"Ampera"
"Fungizid"	"Camposan-Extra"
"Fungizid"	"Tebuconazol"
"Fungizid"	"Aurelia"
"Fungizid"	"Vegas"
"Fungizid"	"Balaya"
"Fungizid"	"Talius"
"Fungizid"	"Skyway Xpro"
"Fungizid"	"Mirage45EC"
"Fungizid"	"Tebucur250"
"Fungizid"	"Ascra xpro"
"Fungizid"	"Osiris"
"Fungizid"	"Horizon"
"Fungizid"	"Adexar"
"Fungizid"	"Tebucur250EW"
"Fungizid"	"Pride"
"Fungizid"	"Tebucur 250 EW"
"Fungizid"	"Tokyo"
"Fungizid"	"Tebu250superEW"
"Fungizid"	"Protendo"
"Fungizid"	"ElastusEra"
"Fungizid"	"Tebu 250super EW"
"Fungizid"	"TebuSuper250EW"
"Fungizid"	"Fezan"
"Fungizid"	"Cantus Gold"
"Fungizid"	"Carax"
"Fungizid"	"FOLPAN 500 SC"
"Fungizid"	"Cuprozin Progress"
"Fungizid"	"Zorvec"
"Fungizid"	"Terminus"
"Fungizid"	"Propulse"
"Fungizid"	"Cuprozin progress"
"Fungizid"	"CARIAL FLEX"
"Fungizid"	"Infinito"
"Fungizid"	"Nando 500 SC"
"Fungizid"	"Ranman Top"
"Fungizid"	"Ballet"
"Fungizid"	"Funguran"
"Fungizid"	"AmistarGold"
"Fungizid"	"Domark"
"Fungizid"	"TEBUNAZOL PI-017"
"Fungizid"	"Folpan500SC"
"Fungizid"	"EastusEra"
"Fungizid"	"Tebu"
"Fungizid"	"Maráge"
"Fungizid"	"ImputClassic"
"Fungizid"	"5-20-2005"
"Fungizid"	"CLAYTON TUSKAR"
"Fungizid"	"Folpan 500SC"
"Fungizid"	"Revycare"
"Fungizid"	"Shortcut"
"Fungizid"	"Verben"
"Fungizid"	"Mix pro SC"
"Fungizid"	"ELATUS ERA"
"Fungizid"	"Moddus"
"Fungizid"	"Univog"
"Fungizid"	"Shirlan"
"Fungizid"	"AcrobatPlus"
"Fungizid"	"RanmanTop"
"Fungizid"	"Funguran progress"
"Fungizid"	"ZorvecEndavia"
"Fungizid"	"RevusTop"
"Fungizid"	"Revus"
"Fungizid"	"Carneol"
"Fungizid"	"CarialFlex"
"Fungizid"	"VegasPlus"
"Fungizid"	"Flexion Quattro"
"Fungizid"	"ElastusPlus"
"Fungizid"	"Protendo250EC"
"Fungizid"	"Revytrek"
"Fungizid"	"TebuSuper"
"Fungizid"	"Protioconazol"
"Fungizid"	"Helocur"
"Fungizid"	"Empartis"
"Fungizid"	"InitialPro"
"Fungizid"	"Tebucur"
"Fungizid"	"Revitrex"
"Fungizid"	"Treso"
"Fungizid"	"Bolt"
"Fungizid"	"Input Classic"
"Fungizid"	"FOLPAN"
