"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,0.749783534373933,0.749783534373933,0.627015642869391,0.42871997404874,""
"Ambient",1,9.75035446648394,9.75035446648394,8.15385307055553,0.00442403267547915,"**"
"Week",2,6.62365408556434,3.31182704278217,2.76955583458661,0.0633759392147242,""
"Temperature",1,6.59215056867799,6.59215056867799,5.51276646820848,0.0191552108331437,"*"
"Wind Speed",1,6.54241092410621,6.54241092410621,5.47117108262387,0.0196126512176812,"*"
"Rain",1,0.70537630495437,0.70537630495437,0.589879554617193,0.442724335178225,""
"Radiation",1,3.97379370444071,3.97379370444071,3.32313354453794,0.0687373082960572,""
"Ground temp.",1,42.6627384961425,42.6627384961425,35.677236400055,3.70226858996475e-09,"***"
"Rel. humidity",1,1.42904816360078,1.42904816360078,1.19505898957845,0.274686990914979,""
"Air pressure",1,0.93897250491284,0.93897250491284,0.785227231345127,0.375851098646567,""
"Residuals",701,838.253819618995,1.19579717492011,NA,NA,""
