"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,0.690431188628736,0.690431188628736,0.583918482287346,0.445038350024571,""
"Device",3,21.4994212970702,7.16647376569006,6.06090303209639,0.000447635873539434,"***"
"Week",2,7.54462461454659,3.7723123072733,3.19035830573026,0.0417571341680394,"*"
"Temperature",1,7.1857877665052,7.1857877665052,6.07723746517042,0.0139327250207355,"*"
"Wind Speed",1,7.52853639799491,7.52853639799491,6.36711032144018,0.0118461054253687,"*"
"Rain",1,0.635330788725014,0.635330788725014,0.537318412048474,0.463791937282731,""
"Radiation",1,4.17692643315013,4.17692643315013,3.53255267670481,0.0605908374078447,""
"Ground temp.",1,43.7266946261695,43.7266946261695,36.9809846108863,1.96280513872771e-09,"***"
"Rel. humidity",1,1.20914780790247,1.20914780790247,1.02261277369835,0.312249963267734,""
"Air pressure",1,0.827374183893653,0.827374183893653,0.699735304111096,0.403158521046365,""
"Residuals",699,826.504752788409,1.18241023288757,NA,NA,""
