"term","df","sumsq","meansq","statistic","p.value","significance"
"Device",3,728.832468134423,242.944156044808,10.5153826951793,9.22005127757027e-07,"***"
"Week",2,576.398579768401,288.199289884201,12.4741663884779,4.82296636475349e-06,"***"
"AIRTEMP",1,16.2431755183256,16.2431755183256,0.703055424509401,0.40206527531965,""
"WINDSPEED",1,510.510359377673,510.510359377673,22.0964845835585,3.16334695840398e-06,"***"
"Rain",1,51.9071107234906,51.9071107234906,2.24670205179942,0.134382028363199,""
"RAD",1,7.50847336876255,7.50847336876255,0.324990204393054,0.568819815961607,""
"GROUNDTEMP",1,11.1401297049206,11.1401297049206,0.482179645842437,0.487683273607016,""
"RH",1,65.9044960089806,65.9044960089806,2.8525526530448,0.0917056427573975,""
"AIRP",1,29.3002955664632,29.3002955664632,1.26820840632363,0.260516113543754,""
"Residuals",654,15109.8141322184,23.1036913336672,NA,NA,""
