"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,667.11127445211,667.11127445211,5.8399361966869,0.0184392329435226,"*"
"Ambient",1,370.776942302958,370.776942302958,3.24580586354245,0.0761739662867327,""
"Week",2,604.159785882584,302.079892941292,2.64442735213554,0.0785662152782484,""
"Temperature",1,1132.74446161657,1132.74446161657,9.91611989832457,0.00246095238817025,"**"
"Wind Speed",1,53.7968784600771,53.7968784600771,0.470941430342028,0.494958252886376,""
"Rain",1,1808.51309080546,1808.51309080546,15.8318431506813,0.000174675775761846,"***"
"Radiation",1,312.581721710868,312.581721710868,2.73636105541948,0.102836618121997,""
"Ground temp.",1,5971.45157621756,5971.45157621756,52.2744818476597,6.30432949673429e-10,"***"
"Rel. humidity",1,11.5863437404942,11.5863437404942,0.101427619032432,0.751128749546335,""
"Air pressure",1,968.076868764577,968.076868764577,8.47460890496375,0.00490681158729997,"**"
"Residuals",66,7539.35362150324,114.232630628837,NA,NA,""
