"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,722.802779430195,722.802779430195,6.6926889478088,0.0119635763742385,"*"
"Device",3,998.203497678632,332.734499226211,3.08090750187966,0.0335635566266456,"*"
"Week",2,492.113956285941,246.05697814297,2.27832939359598,0.110705851764736,""
"Temperature",1,1131.89544094732,1131.89544094732,10.4806239312959,0.00191277945565338,"**"
"Wind Speed",1,66.9161627390231,66.9161627390231,0.619600637322239,0.434101085926449,""
"Rain",1,1786.43355986631,1786.43355986631,16.5412260195475,0.000132884939621296,"***"
"Radiation",1,296.063725436223,296.063725436223,2.74135971728851,0.10267730520973,""
"Ground temp.",1,5832.50069515532,5832.50069515532,54.005205917063,4.53234311350665e-10,"***"
"Rel. humidity",1,8.52201415386571,8.52201415386571,0.0789083710851383,0.779688376897502,""
"Air pressure",1,1014.41238643594,1014.41238643594,9.39280639259883,0.00318747998660729,"**"
"Residuals",64,6911.92706612757,107.998860408243,NA,NA,""
