"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,1402.24886838843,1402.24886838843,1.00701210830483,0.319230244847696,""
"Ambient",1,1085.14130754277,1085.14130754277,0.779284234454883,0.380516549179698,""
"Week",2,64.1801514194085,32.0900757097043,0.0230451922797626,0.977226062531339,""
"Temperature",1,519.361538972997,519.361538972997,0.372974705220987,0.543453516298818,""
"Wind Speed",1,9160.52957054148,9160.52957054148,6.57854993074196,0.0125675198419632,"*"
"Rain",1,50.3281119440362,50.3281119440362,0.0361426700055118,0.849795996531275,""
"Radiation",1,3995.40046587215,3995.40046587215,2.86926004175281,0.0949307744874165,""
"Ground temp.",1,10.4913996637915,10.4913996637915,0.00753430202917213,0.931089096669621,""
"Rel. humidity",1,2233.55377641847,2233.55377641847,1.60400607061166,0.209721833916565,""
"Air pressure",1,2265.39789020305,2265.39789020305,1.62687462760053,0.206540632518137,""
"Residuals",67,93296.4692352888,1392.48461545207,NA,NA,""
