"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,1258.16758718058,1258.16758718058,0.952397154180935,0.332727992967929,""
"Device",3,8513.13350284145,2837.71116761382,2.14806681396011,0.102678229422448,""
"Week",2,148.016684525777,74.0083422628886,0.0560222145881011,0.945563733876939,""
"Temperature",1,647.952376747038,647.952376747038,0.490481559011965,0.486211875560412,""
"Wind Speed",1,8676.93377324931,8676.93377324931,6.5681925975995,0.012706176184793,"*"
"Rain",1,16.66303359835,16.66303359835,0.0126134435037009,0.910924061929668,""
"Radiation",1,3559.92039728483,3559.92039728483,2.69475870307739,0.105508920162422,""
"Ground temp.",1,6.71681985670875,6.71681985670875,0.00508444199473506,0.943373741943898,""
"Rel. humidity",1,2172.62100945319,2172.62100945319,1.64461244082259,0.204248500067055,""
"Air pressure",1,2134.44868670143,2134.44868670143,1.61571707590645,0.208220107982587,""
"Residuals",65,85868.4770399901,1321.05349292292,NA,NA,""
