"term","df","sumsq","meansq","statistic","p.value","significance"
"Ambient",1,606.531713900136,606.531713900136,0.435575163394695,0.511528410272057,""
"Week",2,14320.0632943525,7160.03164717624,5.14191077425421,0.00836639101057382,"**"
"AIRTEMP",1,1033.65643099874,1033.65643099874,0.742310844607183,0.391994731542887,""
"WINDSPEED",1,7263.23576075755,7263.23576075755,5.21602585777907,0.0255556059218928,"*"
"Rain",1,239.272006997134,239.272006997134,0.171830987819893,0.679813872876508,""
"RAD",1,789.222926281549,789.222926281549,0.566773174743713,0.454181167597548,""
"GROUNDTEMP",1,102.991034988476,102.991034988476,0.0739620630961442,0.786489336139735,""
"RH",1,1678.95457802699,1678.95457802699,1.20572576486377,0.276110772829859,""
"AIRP",1,2265.39789020305,2265.39789020305,1.62687462760052,0.206540632518137,""
"Residuals",67,93296.4692352888,1392.48461545207,NA,NA,""
