"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,2130.80809073261,2130.80809073261,2.02353465861501,0.157389002796824,""
"Ambient",1,500.113696590706,500.113696590706,0.474935965702769,0.492012648151898,""
"Week",2,312.182718505937,156.091359252969,0.148233093694567,0.862382670428903,""
"Temperature",1,210.309287541924,210.309287541924,0.199721473848635,0.655725338373125,""
"Wind Speed",1,3012.22388541148,3012.22388541148,2.86057644428336,0.0932868018170009,""
"Rain",1,744.087842065666,744.087842065666,0.706627473409041,0.402183694853156,""
"Radiation",1,2882.1531792153,2882.1531792153,2.73705401952665,0.100574527032722,""
"Ground temp.",1,4435.56207813619,4435.56207813619,4.21225807926281,0.0422372721424164,"*"
"Rel. humidity",1,877.448404308205,877.448404308205,0.833274129653611,0.363098878940364,""
"Air pressure",1,3264.10242774503,3264.10242774503,3.09977440978298,0.0807685254759655,""
"Residuals",124,130573.599086109,1053.01289585572,NA,NA,""
