"term","df","sumsq","meansq","statistic","p.value","significance"
"(Intercept)",1,1991.24167767183,1991.24167767183,2.4895695292043,0.116892635429983,""
"Device",7,24223.7145955824,3460.53065651177,4.32656255337224,0.000232542645715923,"***"
"Week",2,135.157898632358,67.5789493161792,0.0844912473055061,0.919027200370774,""
"Temperature",1,45.8329205122282,45.8329205122282,0.0573030605080028,0.8111656564588,""
"Wind Speed",1,2784.41648353764,2784.41648353764,3.48124414618241,0.0641909289743657,""
"Rain",1,662.778365692138,662.778365692138,0.828645182724479,0.364251812844846,""
"Radiation",1,2552.70321054933,2552.70321054933,3.19154234332622,0.0762157278483728,""
"Ground temp.",1,2934.56907567559,2934.56907567559,3.6689739041065,0.0575028822333958,""
"Rel. humidity",1,1034.11559575731,1034.11559575731,1.29291321377045,0.257482290604034,""
"Air pressure",1,3076.47185389455,3076.47185389455,3.84638925088469,0.051866432577013,""
"Residuals",138,110377.054464729,799.833728005282,NA,NA,""
